Source,Target
4383845,114116
4383845,117036
4383845,111973
4383845,115572
4383845,125858
4383845,121410
4383846,114889
4383846,116103
4383846,106971
4383846,106552
4383846,108409
4383846,108354
4383846,108945
4383846,107007
4383846,111686
4383846,113637
4383846,116811
4383846,128218
4383846,115786
4383846,115726
4383846,121924
4383846,127176
4383846,115695
4383846,123009
4383846,125228
4383846,124983
4383846,124909
4383846,124629
4383846,116055
4383846,123188
4383846,121400
4383846,119541
4383846,115459
4383846,117940
4383846,117464
4383846,118793
4383847,114584
4383847,117939
4383847,107842
4383847,107843
4383847,115448
4383847,114296
4383847,116947
4383847,117437
4383847,122864
4383847,111908
4383847,110484
4383847,115237
4383847,114625
4383847,120437
4383847,117388
4383848,119312
4383848,117422
4383850,111418
4383850,111547
4383850,111548
4383850,117176
4383850,122826
4383850,111335
4383859,106670
4383859,108939
4383859,121458
4383859,107587
4383859,123210
4383866,112765
4383860,120502
4383860,115583
4383860,115561
4383860,116709
4383860,115820
4383860,114274
4383860,115227
4383860,128571
4383860,119405
4383860,124226
4383860,120938
4383860,117299
4383860,122294
4383860,127739
4383860,118841
4383860,116795
4383860,120573
4383860,112798
4383860,119820
4383860,119982
4383861,115103
4383861,116290
4383861,109515
4383861,111146
4383861,116291
4383861,111562
4383861,111553
4383861,111563
4383861,111894
4383861,107492
4383861,112943
4383861,112945
4383861,106675
4383861,109064
4383861,109063
4383861,109066
4383861,121210
4383861,115191
4383861,115017
4383861,115018
4383861,116789
4383861,116248
4383861,116714
4383861,115006
4383861,122857
4383861,119372
4383861,128362
4383861,126903
4383861,114465
4383861,122718
4383861,127465
4383861,120873
4383861,115445
4383861,122232
4383861,122669
4383861,122528
4383861,116360
4383861,118878
4383861,119496
4383861,116630
4383862,108981
4383862,109828
4383862,116980
4383863,115499
4383863,106877
4383863,115488
4383851,116194
4383851,114856
4383851,111443
4383851,111845
4383851,116913
4383851,116899
4383851,117520
4383853,109642
4383853,117723
4383853,136328
4383853,116831
4383853,124736
4383853,120854
4383853,117720
4383853,117724
4383854,109316
4383854,109134
4383854,120760
4383855,115876
4383855,107019
4383855,115569
4383855,122719
4383856,114110
4383856,123309
4383856,108477
4383856,108071
4383856,111834
4383856,107707
4383856,111816
4383856,113624
4383856,110382
4383856,111800
4383856,116096
4383856,119605
4383856,106880
4383856,111799
4383856,109044
4383856,109049
4383856,116159
4383856,113599
4383856,117543
4383856,122271
4383856,127987
4383856,115011
4383856,124893
4383856,119286
4383856,107387
4383856,121372
4383856,122965
4383856,117691
4383856,126272
4383856,120934
4383856,123135
4383856,116591
4383857,115494
4383857,112609
4383857,116282
4383857,113306
4383857,112606
4383857,112607
4383857,122180
4383857,108027
4383857,119619
4383857,121122
4383857,117466
4383857,116468
4383857,122846
4383857,123023
4383857,122529
4383857,119280
4383857,121243
4383857,119217
4383857,117743
4383857,117359
4383857,119304
4383857,122362
4383857,116977
4383857,116731
4383858,109218
4383858,108494
4383858,108495
4383858,113717
4383858,117165
4383858,115532
4383858,113297
4383858,119759
4383858,121593
4383858,116734
4383858,124876
4383858,124306
4383858,110981
4383858,115157
4383858,118166
4383858,115771
4383867,111530
4383867,114031
4383867,120825
4383867,122595
4383867,122820
4383867,117725
4383867,115301
4383867,112783
4383867,112785
4383868,109405
4383868,130421
4383868,127351
4383868,116925
4383868,116769
4383868,120930
4383868,117312
4383868,118935
4383869,119062
4383870,110982
4383870,114054
4383870,117286
4383872,120357
4383872,116804
4383873,111367
4383873,108193
4383873,114172
4383873,111343
4383873,109894
4383873,129759
4383873,107688
4383873,111775
4383873,108123
4383873,110199
4383873,111083
4383873,123742
4383873,115828
4383873,110398
4383873,116156
4383873,110944
4383873,122521
4383873,126822
4383873,121155
4383873,117173
4383873,123074
4383873,122729
4383873,126015
4383873,116700
4383873,114363
4383873,118096
4383873,117265
4383873,120885
4383873,124671
4383873,112289
4383873,110831
4383873,114895
4383873,123181
4383873,116704
4383873,123207
4383873,122145
4383873,117056
4383873,122055
4383873,122791
4383873,120200
4383873,120875
4383873,119984
4383873,114888
4383873,115780
4383873,119666
4383873,114290
4383873,121955
4383874,114769
4383874,118091
4383874,113583
4383874,115201
4383874,110310
4383874,108326
4383874,119637
4383874,122527
4383874,110309
4383874,121796
4383874,114905
4383875,113702
4383875,114271
4383875,113304
4383875,110503
4383875,108449
4383875,116596
4383875,116920
4383875,118158
4383875,120806
4383875,128412
4383875,123025
4383875,122796
4383875,127817
4383875,124223
4383875,120834
4383875,119446
4383875,122511
4383875,120425
4383875,117980
4383875,118799
4383875,120074
4383875,107087
4383875,119292
4383875,119207
4383875,110795
4383875,125082
4383950,116997
4383946,135912
4383924,110310
4383925,114593
4383922,113647
4383945,117107
4383921,107269
4383949,117462
4383949,126110
4383941,117142
4383949,113029
4383951,107171
4383941,113479
4383947,117462
4383924,111656
4383947,121332
4383941,121792
4383949,111427
4383940,127838
4383951,115794
4383947,117962
4383949,122201
4383918,115794
4383945,122731
4383945,113911
4383925,107171
4383945,106874
4383949,120022
4383947,123622
4383946,118793
4383945,121747
4383918,107171
4383918,106715
4383945,113363
4383921,107171
4383950,110310
4383947,108338
4383950,108326
4383941,123627
4383949,111226
4383919,115794
4383945,121511
4383949,110785
4383947,126110
4383940,107171
4383920,122472
4383939,123620
4383925,115794
4383943,108570
4383946,120686
4383924,112138
4383950,116369
4383946,112872
4383944,109878
4383949,107575
4383942,110892
4383942,123620
4383917,115794
4383949,110474
4383945,114402
4383949,109463
4383917,113363
4383946,107171
4383950,107171
4383945,119355
4383950,111474
4383943,115708
4383943,113344
4383946,108291
4383943,120312
4383945,110128
4383920,122055
4383917,111226
4383924,112132
4383940,117962
4383919,109227
4383925,121317
4383950,126317
4383940,129597
4383950,115708
4383940,4383944
4383940,4383946
4383940,4383937
4383940,4383953
4383940,4383917
4383941,4383940
4383941,4383917
4383943,4383924
4383945,4383946
4383947,4383946
4383949,4383946
4383950,4383946
4383951,4383946
4383914,4383939
4383914,4383946
4383914,4383914
4383914,4383921
4383919,4383921
4383924,4383951
4383924,4383924
4383925,4383924
4383925,4383925
4383939,4383917
4383940,4383942
4383941,4383924
4383943,4383945
4383943,4383946
4383924,4383943
4383944,4383946
4383945,4383945
4383945,4383924
4383946,4383946
4383946,4383924
4383947,4383944
4383947,4383945
4383948,4383917
4383948,4383924
